date,age,gender,height,weight,steps,hear_rate,calories,distance,steps_times_distance,activity
2019-01-01,20,1,168,65.4,10.77142857,78.53130238,0.34453285,0.008326857,0.089692147,Lying
2019-01-02,20,1,168,65.4,11.47532468,78.45339028,3.287625463,0.008896346,0.102088462,Lying
2019-01-03,20,1,168,65.4,12.17922078,78.54082508,9.484,0.009465835,0.1152865,Lying
2019-01-04,20,1,168,65.4,12.88311688,78.62825988,10.15455556,0.010035325,0.129286261,Lying
2019-01-05,20,1,168,65.4,13.58701299,78.71569468,10.82511111,0.010604814,0.144087744,Lying
2019-01-06,20,1,168,65.4,14.29090909,78.80312949,11.49566667,0.011174303,0.159690949,Sitting
2019-01-07,20,1,168,65.4,14.99480519,78.89056429,12.16622222,0.011743792,0.176095876,Sitting
2019-01-08,20,1,168,65.4,15.6987013,78.97799909,12.83677778,0.012313281,0.193302526,Sitting
2019-01-09,20,1,168,65.4,16.4025974,79.06543389,13.50733333,0.012882771,0.211310899,Sitting
2019-01-10,20,1,168,65.4,17.10649351,79.1528687,14.17788889,0.01345226,0.230120994,Sitting
2019-01-11,20,1,168,65.4,17.81038961,79.2403035,14.84844444,0.014021749,0.249732811,Self Pace walk
2019-01-12,20,1,168,65.4,18.51428571,79.3277383,15.519,0.014591238,0.270146351,Self Pace walk
2019-01-13,20,1,168,65.4,19.21818182,79.4151731,15.506875,0.015160727,0.291361613,Self Pace walk
2019-01-14,20,1,168,65.4,19.92207792,79.50260791,15.49475,0.015730216,0.313378598,Self Pace walk
2019-01-15,20,1,168,65.4,20.62597403,79.59004271,15.482625,0.016299706,0.336197305,Self Pace walk
2019-01-16,20,1,168,65.4,21.32987013,79.67747751,15.4705,0.016869195,0.359817734,Self Pace walk
2019-01-17,20,1,168,65.4,22.03376623,79.76491231,15.458375,0.017438684,0.384239886,Self Pace walk
2019-01-18,20,1,168,65.4,22.73766234,79.85234712,15.44625,0.018008173,0.409463761,Self Pace walk
2019-01-19,20,1,168,65.4,23.44155844,79.93978192,15.434125,0.018577662,0.435489357,Self Pace walk
2019-01-20,20,1,168,65.4,24.14545455,80.02721672,15.422,0.019147152,0.462316677,Self Pace walk
2019-01-21,20,1,168,65.4,24.84935065,80.11465152,15.409875,0.019716641,0.489945718,Self Pace walk
2019-01-22,20,1,168,65.4,25.55324675,80.20208632,15.39775,0.02028613,0.518376482,Lying
2019-01-23,20,1,168,65.4,26.25714286,80.28952113,15.385625,0.020855619,0.547608969,Lying
2019-01-24,20,1,168,65.4,26.96103896,80.37695593,15.3735,0.021425108,0.577643178,Lying
2019-01-25,20,1,168,65.4,27.66493506,80.46439073,15.361375,0.021994597,0.608479109,Lying
2019-01-26,20,1,168,65.4,28.36883117,80.55182553,15.34925,0.022564087,0.640116763,Lying
2019-01-27,20,1,168,65.4,29.07272727,80.63926034,15.337125,0.023133576,0.672556139,Running 3 METs
2019-01-28,20,1,168,65.4,29.77662338,80.72669514,15.325,0.023703065,0.705797237,Running 3 METs
2019-01-29,20,1,168,65.4,30.48051948,80.81412994,15.5058,0.024272554,0.739840058,Running 3 METs
2019-01-30,20,1,168,65.4,31.18441558,80.90156474,15.6866,0.024842043,0.774684602,Running 3 METs
2019-01-31,20,1,168,65.4,31.88831169,80.98899955,15.8674,0.025411532,0.810330868,Running 3 METs
2019-02-01,20,1,168,65.4,32.59220779,81.07643435,16.0482,0.025981022,0.846778856,Running 3 METs
2019-02-02,20,1,168,65.4,33.2961039,81.16386915,16.229,0.026550511,0.884028567,Running 3 METs
2019-02-03,20,1,168,65.4,34,81.25130395,16.4098,0.02712,0.92208,Running 3 METs
2019-02-04,20,1,168,65.4,9,81.33873876,16.5906,0.00621,0.05589,Running 3 METs
2019-02-05,20,1,168,65.4,20,81.42617356,16.7714,0.014465,0.2893,Running 3 METs
2019-02-06,20,1,168,65.4,31,81.51360836,16.9522,0.02272,0.70432,Running 3 METs
2019-02-07,20,1,168,65.4,28,81.60104316,17.133,0.020517,0.574476,Running 3 METs
2019-02-08,20,1,168,65.4,25,81.68847796,17.3138,0.018314,0.45785,Running 3 METs
2019-02-09,20,1,168,65.4,22,81.77591277,17.4946,0.016111,0.354442,Running 3 METs
2019-02-10,20,1,168,65.4,19,81.86334757,17.6754,0.013908,0.264252,Lying
2019-02-11,20,1,168,65.4,16,81.95078237,17.8562,0.011705,0.18728,Lying
2019-02-12,20,1,168,65.4,13,82.03821717,18.037,0.009502,0.123526,Lying
2019-02-13,20,1,168,65.4,10,82.12565198,18.03166667,0.007299,0.07299,Lying
2019-02-14,20,1,168,65.4,7,82.21308678,18.02633333,0.005096,0.035672,Lying
2019-02-15,20,1,168,65.4,4,82.30052158,18.021,0.002893,0.011572,Running 5 METs
2019-02-16,20,1,168,65.4,1,82.38795638,18.01566667,0.00069,0.00069,Running 5 METs
2019-02-17,20,1,168,65.4,6.6,82.47539119,18.01033333,0.005578,0.0368148,Running 5 METs
2019-02-18,20,1,168,65.4,12.2,82.56282599,18.005,0.010466,0.1276852,Running 5 METs
2019-02-19,20,1,168,65.4,17.8,82.65026079,17.99966667,0.015354,0.2733012,Running 5 METs
2019-02-20,20,1,168,65.4,23.4,82.73769559,17.99433333,0.020242,0.4736628,Running 5 METs
2019-02-21,20,1,168,65.4,29,82.8251304,17.989,0.02513,0.72877,Running 5 METs
2019-02-22,20,1,168,65.4,22,82.9125652,17.98366667,0.01834,0.40348,Running 5 METs
2019-02-23,20,1,168,65.4,15,83,17.97833333,0.01155,0.17325,Running 5 METs
2019-02-24,20,1,168,65.4,15,75,17.973,0.011843333,0.17765,Running 5 METs
2019-02-25,20,1,168,65.4,15,67,17.96766667,0.012136667,0.18205,Running 5 METs
2019-02-26,20,1,168,65.4,15,59,17.96233333,0.01243,0.18645,Running 5 METs
2019-02-27,20,1,168,65.4,14.88888889,51,17.957,0.012075556,0.179791605,Sitting
2019-02-28,20,1,168,65.4,14.77777778,71.1126,17.9598,0.011721111,0.173211975,Sitting
2019-03-01,20,1,168,65.4,14.66666667,66.74173333,17.9626,0.011366667,0.166711111,Sitting
2019-03-02,20,1,168,65.4,14.55555556,62.37086667,17.9654,0.011012222,0.160289012,Sitting
2019-03-03,20,1,168,65.4,14.44444444,58,17.9682,0.010657778,0.153945679,Sitting
2019-03-04,20,1,168,65.4,14.33333333,58.75,17.971,0.010303333,0.147681111,Sitting
2019-03-05,20,1,168,65.4,14.22222222,59.5,17.9738,0.009948889,0.141495309,Running 7 METs
2019-03-06,20,1,168,65.4,14.11111111,60.25,17.9766,0.009594444,0.135388272,Running 7 METs
2019-03-07,20,1,168,65.4,14,61,17.9794,0.00924,0.12936,Running 7 METs
2019-03-08,20,1,168,65.4,81.58333333,64,17.9822,0.053871667,4.395030139,Running 7 METs
2019-03-09,20,1,168,65.4,149.1666667,67,17.985,0.098503333,14.69341389,Running 7 METs
2019-03-10,20,1,168,65.4,216.75,70,17.9878,0.143135,31.02451125,Running 7 METs
2019-03-11,20,1,168,65.4,284.3333333,73,17.9906,0.187766667,53.38832222,Running 7 METs
2019-03-12,20,1,168,65.4,351.9166667,76,17.9934,0.232398333,81.78484681,Running 7 METs
2019-03-13,20,1,168,65.4,419.5,80,17.9962,0.27703,116.214085,Running 7 METs
2019-03-14,20,1,168,65.4,71,84,17.999,0.05168,3.66928,Running 7 METs
2019-03-15,20,1,168,65.4,99,88,13.58538321,0.07112,7.04088,Running 7 METs
2019-03-16,20,1,168,65.4,91,84.84376746,9.171766425,0.06602,6.00782,Running 7 METs
2019-03-17,20,1,168,65.4,50.88571429,81.68753492,4.758149638,0.037173429,1.891596465,Running 7 METs
2019-03-18,30,0,164,68,10.77142857,78.53130238,0.34453285,0.008326857,0.089692147,Lying
2019-03-19,30,0,164,68,10.94571429,78.45339028,3.287625463,0.008433295,0.09230844,Lying
2019-03-20,30,0,164,68,11.12,78.38524055,4.099509358,0.008539733,0.094961835,Lying
2019-03-21,30,0,164,68,11.29428571,78.31709082,4.911393254,0.008646171,0.09765233,Lying
2019-03-22,30,0,164,68,11.46857143,78.24894109,5.723277149,0.00875261,0.100379928,Lying
2019-03-23,30,0,164,68,11.64285714,78.18079136,6.535161045,0.008859048,0.103144626,Sitting
2019-03-24,30,0,164,68,11.81714286,78.11264163,7.34704494,0.008965486,0.105946425,Sitting
2019-03-25,30,0,164,68,11.99142857,78.0444919,8.158928836,0.009071924,0.108785326,Sitting
2019-03-26,30,0,164,68,12.16571429,77.97634217,8.970812731,0.009178362,0.111661329,Sitting
2019-03-27,30,0,164,68,12.34,77.90819244,9.782696627,0.0092848,0.114574432,Sitting
2019-03-28,30,0,164,68,12.51428571,77.84004271,10.59458052,0.009391238,0.117524637,Self Pace walk
2019-03-29,30,0,164,68,12.68857143,77.77189298,11.40646442,0.009497676,0.120511943,Self Pace walk
2019-03-30,30,0,164,68,12.86285714,77.70374325,12.21834831,0.009604114,0.12353635,Self Pace walk
2019-03-31,30,0,164,68,13.03714286,77.63559352,13.03023221,0.009710552,0.126597859,Self Pace walk
2019-04-01,30,0,164,68,13.21142857,77.56744379,13.8421161,0.00981699,0.129696468,Self Pace walk
2019-04-02,30,0,164,68,13.38571429,77.49929406,14.654,0.009923429,0.13283218,Self Pace walk
2019-04-03,30,0,164,68,13.56,77.43114433,14.93292857,0.010029867,0.136004992,Self Pace walk
2019-04-04,30,0,164,68,13.73428571,77.3629946,15.21185714,0.010136305,0.139214906,Self Pace walk
2019-04-05,30,0,164,68,13.90857143,77.29484487,15.49078571,0.010242743,0.142461921,Self Pace walk
2019-04-06,30,0,164,68,14.08285714,77.22669514,15.76971429,0.010349181,0.145746037,Self Pace walk
2019-04-07,30,0,164,68,14.25714286,77.15854541,16.04864286,0.010455619,0.149067254,Self Pace walk
2019-04-08,30,0,164,68,14.43142857,77.09039568,16.32757143,0.010562057,0.152425573,Lying
2019-04-09,30,0,164,68,14.60571429,77.02224595,16.6065,0.010668495,0.155820993,Lying
2019-04-10,30,0,164,68,14.78,76.95409622,16.88542857,0.010774933,0.159253515,Lying
2019-04-11,30,0,164,68,14.95428571,76.88594649,17.16435714,0.010881371,0.162723137,Lying
2019-04-12,30,0,164,68,15.12857143,76.81779676,17.44328571,0.01098781,0.166229861,Lying
2019-04-13,30,0,164,68,15.30285714,76.74964703,17.72221429,0.011094248,0.169773686,Running 3 METs
2019-04-14,30,0,164,68,15.47714286,76.6814973,18.00114286,0.011200686,0.173354613,Running 3 METs
2019-04-15,30,0,164,68,15.65142857,76.61334757,18.28007143,0.011307124,0.176972641,Running 3 METs
2019-04-16,30,0,164,68,15.82571429,76.54519784,18.559,0.011413562,0.18062777,Running 3 METs
2019-04-17,30,0,164,68,16,76.47704811,18.446875,0.01152,0.18432,Running 3 METs
2019-04-18,30,0,164,68,24,76.40889838,18.33475,0.018115,0.43476,Running 3 METs
2019-04-19,30,0,164,68,32,76.34074865,18.222625,0.02471,0.79072,Running 3 METs
2019-04-20,30,0,164,68,40,76.27259892,18.1105,0.031305,1.2522,Running 3 METs
2019-04-21,30,0,164,68,48,76.20444919,17.998375,0.0379,1.8192,Running 3 METs
2019-04-22,30,0,164,68,46.99382239,76.13629946,17.88625,0.037100726,1.743504922,Running 3 METs
2019-04-23,30,0,164,68,45.98764479,76.06814973,17.774125,0.036301452,1.669418268,Running 3 METs
2019-04-24,30,0,164,68,44.98146718,76,17.662,0.035502178,1.596940037,Lying
2019-04-25,30,0,164,68,43.97528958,75.2,17.549875,0.034702903,1.526070229,Lying
2019-04-26,30,0,164,68,42.96911197,74.4,17.43775,0.033903629,1.456808845,Lying
2019-04-27,30,0,164,68,41.96293436,73.6,17.325625,0.033104355,1.389155885,Lying
2019-04-28,30,0,164,68,40.95675676,72.8,17.2135,0.032305081,1.323111348,Lying
2019-04-29,30,0,164,68,39.95057915,72,17.101375,0.031505807,1.258675234,Running 5 METs
2019-04-30,30,0,164,68,38.94440154,72.5,16.98925,0.030706533,1.195847544,Running 5 METs
2019-05-01,30,0,164,68,37.93822394,73,16.877125,0.029907259,1.134628277,Running 5 METs
2019-05-02,30,0,164,68,36.93204633,72,16.765,0.029107985,1.075017434,Running 5 METs
2019-05-03,30,0,164,68,35.92586873,71,15.71063333,0.02830871,1.017015015,Running 5 METs
2019-05-04,30,0,164,68,34.91969112,70,14.65626667,0.027509436,0.960621018,Running 5 METs
2019-05-05,30,0,164,68,33.91351351,69,13.6019,0.026710162,0.905835445,Running 5 METs
2019-05-06,30,0,164,68,32.90733591,69.2,12.54753333,0.025910888,0.852658296,Running 5 METs
2019-05-07,30,0,164,68,31.9011583,69.4,11.49316667,0.025111614,0.80108957,Running 5 METs
2019-05-08,30,0,164,68,30.89498069,69.6,10.4388,0.02431234,0.751129268,Running 5 METs
2019-05-09,30,0,164,68,29.88880309,69.8,9.384433333,0.023513066,0.702777389,Running 5 METs
2019-05-10,30,0,164,68,28.88262548,70,8.330066667,0.022713792,0.656033933,Sitting
2019-05-11,30,0,164,68,27.87644788,70.11111111,7.2757,0.021914517,0.610898901,Sitting
2019-05-12,30,0,164,68,26.87027027,70.22222222,6.221333333,0.021115243,0.567372293,Sitting
2019-05-13,30,0,164,68,25.86409266,70.33333333,5.166966667,0.020315969,0.525454108,Sitting
2019-05-14,30,0,164,68,24.85791506,70.44444444,4.1126,0.019516695,0.485144346,Sitting
2019-05-15,30,0,164,68,23.85173745,70.55555556,3.058233333,0.018717421,0.446443008,Sitting
2019-05-16,30,0,164,68,22.84555985,70.66666667,2.003866667,0.017918147,0.409350093,Running 7 METs
2019-05-17,30,0,164,68,21.83938224,70.77777778,0.9495,0.017118873,0.373865602,Running 7 METs
2019-05-18,30,0,164,68,20.83320463,70.88888889,0.81975,0.016319598,0.339989534,Running 7 METs
2019-05-19,30,0,164,68,19.82702703,71,0.69,0.015520324,0.30772189,Running 7 METs
2019-05-20,30,0,164,68,18.82084942,70.75,0.459333333,0.01472105,0.277062669,Running 7 METs
2019-05-21,30,0,164,68,17.81467181,70.5,0.5965,0.013921776,0.248011872,Running 7 METs
2019-05-22,30,0,164,68,16.80849421,70.25,0.556,0.013122502,0.220569498,Running 7 METs
2019-05-23,30,0,164,68,15.8023166,70,0.863,0.012323228,0.194735547,Running 7 METs
2019-05-24,30,0,164,68,14.796139,71.98333333,0.517,0.011523954,0.17051002,Running 7 METs
2019-05-25,30,0,164,68,13.78996139,73.96666667,0.603,0.01072468,0.147892917,Running 7 METs
2019-05-26,30,0,164,68,12.78378378,75.95,0.517,0.009925405,0.126884237,Running 7 METs
2019-05-27,30,0,164,68,11.77760618,77.93333333,0.289913043,0.009126131,0.10748398,Running 7 METs
2019-05-28,24,0,165,43,10.77142857,79.91666667,0.062826087,0.008326857,0.089692147,Lying
2019-05-29,24,0,165,43,92.7012987,79,0.062958333,0.01439886,1.334793024,Lying
2019-05-30,24,0,165,43,174.6311688,78.54545455,0.06226087,0.020470863,3.574850718,Lying
2019-05-31,24,0,165,43,256.561039,79.15384615,0.061,0.026542866,6.809865227,Lying
2019-06-01,24,0,165,43,338.4909091,80.63636364,0.061,0.032614869,11.03983655,Lying
2019-06-02,24,0,165,43,420.4207792,74.76923077,0.061,0.038686872,16.26476469,Lying
2019-06-03,24,0,165,43,502.3506494,80.90909091,0.061,0.044758874,22.48464965,Sitting
2019-06-04,24,0,165,43,584.2805195,76.23076923,0.061,0.050830877,29.69949142,Sitting
2019-06-05,24,0,165,43,666.2103896,73.25,0.061,0.05690288,37.90929001,Sitting
2019-06-06,24,0,165,43,748.1402597,79.66666667,0.061,0.062974883,47.11404541,Sitting
2019-06-07,24,0,165,43,830.0701299,76.5,0.061,0.069046886,57.31375763,Sitting
2019-06-08,24,0,165,43,912,84.4,0.061,0.075118889,68.50842667,Self Pace walk
2019-06-09,24,0,165,43,866.9,86.46153846,0.061,0.002945,2.5530205,Self Pace walk
2019-06-10,24,0,165,43,821.8,87.66666667,0.061,0.00304,2.498272,Self Pace walk
2019-06-11,24,0,165,43,776.7,83.90909091,0.061,0.002714286,2.108185714,Self Pace walk
2019-06-12,24,0,165,43,731.6,88.25,0.061,0.002945,2.154562,Self Pace walk
2019-06-13,24,0,165,43,686.5,90.16666667,0.061,0.002945,2.0217425,Self Pace walk
2019-06-14,24,0,165,43,641.4,88.76923077,0.061,0.002841739,1.822691478,Self Pace walk
2019-06-15,24,0,165,43,596.3,89.66666667,0.061,0.002913333,1.737220667,Self Pace walk
2019-06-16,24,0,165,43,551.2,90.58333333,0.061,0.002913333,1.605829333,Self Pace walk
2019-06-17,24,0,165,43,506.1,91.09090909,0.061,0.002907826,1.471650783,Self Pace walk
2019-06-18,24,0,165,43,461,97.75,0.061,0.017218696,7.937818696,Lying
2019-06-19,24,0,165,43,488.1333333,87.84615385,0.061,0.0057,2.78236,Lying
2019-06-20,24,0,165,43,515.2666667,83.33333333,0.061,0.00526775,2.714295983,Lying
2019-06-21,24,0,165,43,542.4,82.63636364,0.061,0.0048355,2.6227752,Lying
2019-06-22,24,0,165,43,569.5333333,82,0.061,0.00440325,2.50779765,Lying
2019-06-23,24,0,165,43,596.6666667,81.08333333,0.061,0.003971,2.369363333,Lying
2019-06-24,24,0,165,43,623.8,85.09090909,0.061,0.00353875,2.20747225,Running 3 METs
2019-06-25,24,0,165,43,650.9333333,95.54545455,0.061,0.003325,2.164353333,Running 3 METs
2019-06-26,24,0,165,43,678.0666667,96.08333333,0.061,0.003356667,2.276043778,Running 3 METs
2019-06-27,24,0,165,43,705.2,95.66666667,0.061,0.003325,2.34479,Running 3 METs
2019-06-28,24,0,165,43,732.3333333,96.08333333,0.061,0.0245512,17.97966213,Running 3 METs
2019-06-29,24,0,165,43,771.8888889,95,0.061,0.003325,2.566530556,Running 3 METs
2019-06-30,24,0,165,43,811.4444444,96.5,0.061,0.003258333,2.643956481,Running 3 METs
2019-07-01,24,0,165,43,851,99.41666667,0.061,0.003356667,2.856523333,Running 3 METs
